DATE,ZAFNGDPRPCPCPPPT
2004-01-01,3.44074544919053
2005-01-01,4.06721687816373
2006-01-01,4.32643434303042
2007-01-01,3.98038472344127
2008-01-01,1.72798102945735
2009-01-01,-2.99908980559659
2010-01-01,1.4659153812454
2011-01-01,1.58527168933585
2012-01-01,0.846634050168966
2013-01-01,0.920096963680495
2014-01-01,-0.115537154591748
2015-01-01,-0.201417714384146
2016-01-01,-0.847609938594305
2017-01-01,-0.340864601725623
2018-01-01,0.0486897307689503
2019-01-01,-1.1232260400923
2020-01-01,-7.67297941137579
2021-01-01,4.00425045272643
2022-01-01,1.26608542751617
2023-01-01,-1.40006813381276
2024-01-01,0.294881896752294
