DATE,IR3TIB01ZAM156N
1980-12-01,6.04
1981-01-01,6.48615384615385
1981-02-01,7.36416666666667
1981-03-01,7.54307692307692
1981-04-01,7.74347826086957
1981-05-01,8.54
1981-06-01,9.2032
1981-07-01,10.3740740740741
1981-08-01,11.2696153846154
1981-09-01,11.2965384615385
1981-10-01,11.5065384615385
1981-11-01,12.16
1981-12-01,13.1954166666667
1982-01-01,14.2696
1982-02-01,15.1775
1982-03-01,15.7940740740741
1982-04-01,15.7273913043478
1982-05-01,15.8675
1982-06-01,16.0738461538462
1982-07-01,16.4296296296296
1982-08-01,16.2392307692308
1982-09-01,16.2869230769231
1982-10-01,15.7515384615385
1982-11-01,14.9
1982-12-01,14.4396
1983-01-01,13.1196
1983-02-01,10.72625
1983-03-01,9.77851851851852
1983-04-01,11.2060869565217
1983-05-01,11.2526086956522
1983-06-01,12.5546153846154
1983-07-01,13.8007692307692
1983-08-01,15.1874074074074
1983-09-01,14.9573076923077
1983-10-01,15.1544
1983-11-01,15.6219230769231
1983-12-01,17.3296
1984-01-01,17.6832
1984-02-01,17.6764
1984-03-01,17.7411111111111
1984-04-01,17.7822727272727
1984-05-01,17.8076923076923
1984-06-01,17.6084
1984-07-01,18.4461538461538
1984-08-01,21.4988888888889
1984-09-01,21.7652
1984-10-01,21.7657692307692
1984-11-01,21.1796153846154
1984-12-01,20.7095833333333
1985-01-01,21.8942307692308
1985-02-01,21.9029166666667
1985-03-01,21.7707692307692
1985-04-01,21.02
1985-05-01,19.7596
1985-06-01,17.4228
1985-07-01,16.5737037037037
1985-08-01,16.7344444444444
1985-09-01,15.2176
1985-10-01,14.3411538461538
1985-11-01,13.0234615384615
1985-12-01,13.0086956521739
1986-01-01,12.2788461538462
1986-02-01,12.0483333333333
1986-03-01,11.9995833333333
1986-04-01,11.4726923076923
1986-05-01,11.014
1986-06-01,10.8916
1986-07-01,10.6559259259259
1986-08-01,9.94153846153846
1986-09-01,9.19192307692308
1986-10-01,9.28346153846154
1986-11-01,8.9752
1986-12-01,8.46041666666667
1987-01-01,8.9
1987-02-01,8.82541666666667
1987-03-01,8.65384615384615
1987-04-01,8.63782608695652
1987-05-01,8.8
1987-06-01,8.6952
1987-07-01,8.83
1987-08-01,8.71769230769231
1987-09-01,8.74076923076923
1987-10-01,8.74076923076923
1987-11-01,8.7184
1987-12-01,9.14625
1988-01-01,9.4812
1988-02-01,9.824
1988-03-01,10.4866666666667
1988-04-01,10.8665217391304
1988-05-01,11.8426086956522
1988-06-01,11.9973076923077
1988-07-01,12.1738461538462
1988-08-01,12.7837037037037
1988-09-01,13.2696153846154
1988-10-01,13.704
1988-11-01,14.9634615384615
1988-12-01,15.5332
1989-01-01,15.2936
1989-02-01,15.3995833333333
1989-03-01,16.256
1989-04-01,16.4429166666667
1989-05-01,17.1670833333333
1989-06-01,17.3057692307692
1989-07-01,17.2030769230769
1989-08-01,17.1596296296296
1989-09-01,17.195
1989-10-01,17.7788
1989-11-01,17.9992307692308
1989-12-01,18.0026086956522
1990-01-01,18
1990-02-01,18.0045833333333
1990-03-01,17.9618518518519
1990-04-01,17.985
1990-05-01,18.0033333333333
1990-06-01,17.9815384615385
1990-07-01,17.8623076923077
1990-08-01,17.6811111111111
1990-09-01,17.536
1990-10-01,17.5442307692308
1990-11-01,17.7057692307692
1990-12-01,17.4129166666667
1991-01-01,17.2992307692308
1991-02-01,17.135
1991-03-01,16.9476
1991-04-01,16.8079166666667
1991-05-01,16.6558333333333
1991-06-01,16.6816
1991-07-01,16.707037037037
1991-08-01,16.6751851851852
1991-09-01,16.5748
1991-10-01,16.3892307692308
1991-11-01,16.2307692307692
1991-12-01,16.15
1992-01-01,16.0265384615385
1992-02-01,15.8616
1992-03-01,15.4938461538462
1992-04-01,15.0152173913043
1992-05-01,14.4295652173913
1992-06-01,14.0153846153846
1992-07-01,13.4674074074074
1992-08-01,12.7157692307692
1992-09-01,12.06
1992-10-01,12.0857692307692
1992-11-01,12.0224
1992-12-01,12.0429166666667
1993-01-01,11.8636
1993-02-01,11.3866666666667
1993-03-01,11.3396296296296
1993-04-01,11.1360869565217
1993-05-01,11.5047826086957
1993-06-01,11.8757692307692
1993-07-01,11.7640740740741
1993-08-01,11.6938461538462
1993-09-01,11.6092307692308
1993-10-01,11.2923076923077
1993-11-01,10.2146153846154
1993-12-01,10.1928
1994-01-01,10.1544
1994-02-01,10.1570833333333
1994-03-01,10.132962962963
1994-04-01,10.312380952381
1994-05-01,10.6904347826087
1994-06-01,10.8523076923077
1994-07-01,10.7423076923077
1994-08-01,10.7492592592593
1994-09-01,10.8442307692308
1994-10-01,11.7824
1994-11-01,12.1892307692308
1994-12-01,12.4656
1995-01-01,12.6988
1995-02-01,12.895
1995-03-01,13.0057692307692
1995-04-01,12.9618181818182
1995-05-01,13.7169230769231
1995-06-01,13.8112
1995-07-01,13.9834615384615
1995-08-01,13.8684615384615
1995-09-01,13.9856
1995-10-01,13.8315384615385
1995-11-01,13.6292307692308
1995-12-01,13.9378260869565
1996-01-01,14.0232692307692
1996-02-01,13.921
1996-03-01,14.1416
1996-04-01,14.2952173913043
1996-05-01,15.8657692307692
1996-06-01,15.8041666666667
1996-07-01,15.0174074074074
1996-08-01,15.8792307692308
1996-09-01,15.2820833333333
1996-10-01,15.0155555555556
1996-11-01,15.2553846153846
1996-12-01,15.9321739130435
1997-01-01,16.2261538461538
1997-02-01,15.7933333333333
1997-03-01,15.8130434782609
1997-04-01,15.7668
1997-05-01,15.6838461538462
1997-06-01,15.4629166666667
1997-07-01,15.08
1997-08-01,14.7876
1997-09-01,14.7168
1997-10-01,14.5581481481481
1997-11-01,14.546
1997-12-01,14.6470833333333
1998-01-01,14.43
1998-02-01,14.0183333333333
1998-03-01,13.2168
1998-04-01,12.9008695652174
1998-05-01,13.0164
1998-06-01,16.0372
1998-07-01,18.9911111111111
1998-08-01,19.7432
1998-09-01,21.6388
1998-10-01,19.45
1998-11-01,17.7644
1998-12-01,17.1988
1999-01-01,16.4048
1999-02-01,15.5425
1999-03-01,14.6238461538462
1999-04-01,13.7530434782609
1999-05-01,13.5168
1999-06-01,13.2572916666667
1999-07-01,12.1006296296296
