,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,SABOR (%), Vol (Rmill) ,FX (%) ,Vol (Rmill),,,,,,
"06-Nov-07,Tue",10.112," R 72,245 ",10.103," R 10,174 ",,,,,,
"07-Nov-07,Wed",10.122," R 71,958 ",10.161," R 10,612 ",,,,,,
"08-Nov-07,Thu",10.120," R 66,867 ",10.190," R 10,110 ",,,,,,
"09-Nov-07,Fri",10.123," R 73,142 ",10.361," R 12,508 ",,,,,,
"12-Nov-07,Mon",10.122," R 71,088 ",0.000, R - ,,,,,,
"13-Nov-07,Tue",10.122," R 72,903 ",10.354," R 14,863 ",,,,,,
"14-Nov-07,Wed",10.132," R 72,914 ",10.424," R 18,154 ",,,,,,
"15-Nov-07,Thu",10.133," R 64,361 ",10.437," R 20,627 ",,,,,,
"16-Nov-07,Fri",10.128," R 70,379 ",10.406," R 12,478 ",,,,,,
"19-Nov-07,Mon",10.126," R 74,706 ",10.342," R 13,133 ",,,,,,
"20-Nov-07,Tue",10.132," R 76,275 ",10.333," R 15,320 ",,,,,,
"21-Nov-07,Wed",10.136," R 71,706 ",10.430," R 13,020 ",,,,,,
"22-Nov-07,Thu",10.144," R 68,269 ",10.537," R 3,918 ",,,,,,
"23-Nov-07,Fri",10.126," R 81,755 ",10.547," R 12,099 ",,,,,,
"26-Nov-07,Mon",10.143," R 75,673 ",10.634," R 9,208 ",,,,,,
"27-Nov-07,Tue",10.091," R 74,174 ",10.667," R 11,491 ",,,,,,
"28-Nov-07,Wed",10.120," R 72,084 ",10.587," R 15,755 ",,,,,,
"29-Nov-07,Thu",10.100," R 70,146 ",10.543," R 11,769 ",,,,,,
"30-Nov-07,Fri",10.104," R 69,717 ",10.489," R 17,854 ",,,,,,
"03-Dec-07,Mon",10.127," R 74,326 ",10.263," R 16,101 ",,,,,,
"04-Dec-07,Tue",10.143," R 75,051 ",10.333," R 16,177 ",,,,,,
"05-Dec-07,Wed",10.148," R 77,568 ",10.422," R 14,498 ",,,,,,
"06-Dec-07,Thu",10.154," R 76,139 ",10.366," R 12,167 ",,,,,,
"07-Dec-07,Fri",10.559," R 77,276 ",10.637," R 19,165 ",,,,,,
"10-Dec-07,Mon",10.589," R 78,928 ",10.629," R 13,463 ",,,,,,
"11-Dec-07,Tue",10.594," R 78,817 ",10.683," R 11,365 ",,,,,,
"12-Dec-07,Wed",10.600," R 79,571 ",10.829," R 17,169 ",,,,,,
"13-Dec-07,Thu",10.593," R 75,215 ",10.790," R 16,062 ",,,,,,
"14-Dec-07,Fri",10.572," R 76,620 ",10.808," R 20,576 ",,,,,,
"17-Dec-07,Mon",10.572," R 76,620 ",10.808," R 20,576 ",,,,,,
"18-Dec-07,Tue",10.586," R 79,750 ",10.772," R 16,287 ",,,,,,
