DATE,ZAFGDPNQDSMEI
2007-01-01,567492910642.011
2007-04-01,578235496951.031
2007-07-01,592757058230.834
2007-10-01,622641600837.6171
2008-01-01,638940581518.709
2008-04-01,656215575876.0759
2008-07-01,675128918878.68
2008-10-01,681363877804.9281
2009-01-01,684005662529.042
2009-04-01,688978631294.74
2009-07-01,707918557238.641
2009-10-01,725894221964.526
2010-01-01,736904876250.0
2010-04-01,763365254750.0
2010-07-01,769252588000.0
2010-10-01,786090483000.0
2011-01-01,803892935500.0
2011-04-01,822754539000.0
2011-07-01,842036217250.0
2011-10-01,858363309500.0
2012-01-01,869382930250.0
2012-04-01,887270095250.0
2012-07-01,897957904000.0
2012-10-01,911774089750.0
2013-01-01,939085703500.0
2013-04-01,958989308000.0
2013-07-01,975526942750.0
2013-10-01,995028268750.0
2014-01-01,1012473209750.0
2014-04-01,1022396086250.0
2014-07-01,1042089588000.0
2014-10-01,1056914157250.0
2015-01-01,1080965705000.0001
2015-04-01,1096521215750.0
2015-07-01,1110919816750.0
2015-10-01,1132385789750.0
2016-01-01,1163827924750.0
2016-04-01,1188126572750.0
2016-07-01,1199361241750.0
2016-10-01,1208238812250.0
2017-01-01,1237177169250.0
2017-04-01,1257624693500.0
2017-07-01,1282712040250.0
2017-10-01,1300676023750.0
2018-01-01,1306099938500.0
2018-04-01,1325348880000.0
2018-07-01,1357915835500.0
2018-10-01,1373825776750.0
2019-01-01,1367775802750.0
2019-04-01,1400830723250.0
2019-07-01,1420513130500.0
2019-10-01,1436086893000.0
2020-01-01,1456691481250.0
2020-04-01,1214521568000.0
2020-07-01,1408017211250.0
2020-10-01,1488743347250.0
2021-01-01,1510678048750.0
2021-04-01,1570626238250.0
2021-07-01,1547733045000.0
2021-10-01,1579748540250.0
2022-01-01,1610183274750.0
2022-04-01,1655028642750.0
2022-07-01,1686922492250.0
2022-10-01,1676415933000.0
2023-01-01,1703175305250.0
