DATE,ZAFCPIENGMINMEI
2002-01-01,29.233323867745
2002-02-01,29.4670784164056
2002-03-01,29.7263509536962
2002-04-01,30.6441572153778
2002-05-01,31.6932545034858
2002-06-01,31.2230273988573
2002-07-01,31.0323234660166
2002-08-01,31.0280704679116
2002-09-01,31.3499945536937
2002-10-01,31.7983651595424
2002-11-01,31.9932512170031
2002-12-01,31.4369810743056
2003-01-01,30.8909518591565
2003-02-01,30.9292288421015
2003-03-01,32.0214476195144
2003-04-01,32.2149507199247
2003-05-01,30.8694473346647
2003-06-01,29.8377536066908
2003-07-01,31.220480025442
2003-08-01,31.8664546960587
2003-09-01,32.1193477361918
2003-10-01,31.3442085382012
2003-11-01,31.2693895036496
2003-12-01,31.2970339913321
2004-01-01,31.2912064090033
2004-02-01,32.3919311826261
2004-03-01,32.7202347655657
2004-04-01,33.5184696990064
2004-05-01,33.5869092364006
2004-06-01,34.7237844939159
2004-07-01,34.6004808023399
2004-08-01,33.77450556763
2004-09-01,34.6259987909699
2004-10-01,35.2405799838344
2004-11-01,35.9221136300888
2004-12-01,35.2200106285182
2005-01-01,33.6197355514066
2005-02-01,33.6150909855875
2005-03-01,35.206716346109
2005-04-01,36.6610627507608
2005-05-01,37.5115728981317
2005-06-01,36.9467967592242
2005-07-01,38.5685138007099
2005-08-01,39.6057955770457
2005-09-01,40.1998220679184
2005-10-01,40.6471054708441
2005-11-01,39.5572131330244
2005-12-01,38.4841328470841
2006-01-01,38.1870311147233
2006-02-01,38.7057199096845
2006-03-01,38.3230708339228
2006-04-01,39.0733876784921
2006-05-01,40.624465836636
2006-06-01,41.9440596655519
2006-07-01,43.7996520093866
2006-08-01,44.9030947903168
2006-09-01,43.4495315210933
2006-10-01,41.7258319987172
2006-11-01,40.974675798559
2006-12-01,40.7262356970716
2007-01-01,40.966417649683
2007-02-01,40.1298099197106
2007-03-01,41.0052861408829
2007-04-01,43.5097691297722
2007-05-01,44.7869850113854
2007-06-01,45.6350166854158
2007-07-01,46.7610385138466
2007-08-01,46.3393293197115
2007-09-01,45.6220763507048
2007-10-01,45.9833646223548
2007-11-01,46.1225701367364
2007-12-01,47.7203750538747
2008-01-01,47.8777359837598
2008-02-01,48.546802818673
2008-03-01,51.0191018317763
2008-04-01,53.8090100611615
2008-05-01,55.9922807856151
2008-06-01,58.070592199037
2008-07-01,64.5599259589782
2008-08-01,64.318890217752
2008-09-01,61.6227235291675
2008-10-01,60.6440462358763
2008-11-01,58.8056000137434
2008-12-01,52.5169180221965
2009-01-01,47.022844346323
2009-02-01,49.4313483878512
2009-03-01,51.2697946099841
2009-04-01,52.6504582608605
2009-05-01,52.4883370945643
2009-06-01,53.0371299234347
2009-07-01,59.0595118042784
2009-08-01,58.7885294938266
2009-09-01,60.2748352765314
2009-10-01,58.6476733180554
2009-11-01,58.6689383085804
2009-12-01,59.7605736708072
2010-01-01,59.486177256372
2010-02-01,60.2256721791708
2010-03-01,60.4582214333526
2010-04-01,62.4375238312568
2010-05-01,63.0222135248666
2010-06-01,61.9518431531648
2010-07-01,65.5922534577224
2010-08-01,65.7013096935342
2010-09-01,65.3139552101634
2010-10-01,65.4900254298774
2010-11-01,66.3212134310868
2010-12-01,66.814210046286
2011-01-01,68.0686493956058
2011-02-01,69.1676006949398
2011-03-01,70.9429347662943
2011-04-01,73.1268883115446
2011-05-01,74.2537377177143
2011-06-01,74.2471046014037
2011-07-01,77.5513719823412
2011-08-01,78.5181486846046
2011-09-01,78.8702891240326
2011-10-01,80.3565949067375
2011-11-01,81.3146900303004
2011-12-01,80.9133864935118
2012-01-01,80.76589720143
2012-02-01,82.1252958617814
2012-03-01,83.2946752490011
2012-04-01,86.1403796920574
2012-05-01,87.3310240698021
2012-06-01,85.1477533453484
2012-07-01,84.6811916495633
2012-08-01,86.0719025207337
2012-09-01,89.7693771347278
2012-10-01,90.7421041325051
2012-11-01,90.3972796301843
2012-12-01,90.1727291339064
2013-01-01,89.5605786194075
2013-02-01,91.3460176200294
2013-03-01,94.9050432646574
2013-04-01,95.4033163367906
2013-05-01,92.201378492287
2013-06-01,91.8834508784216
2013-07-01,98.207394274411
2013-08-01,99.6238931182926
2013-09-01,99.4198429467929
2013-10-01,98.6036422607944
2013-11-01,97.3793412317964
2013-12-01,98.0935168320452
2014-01-01,99.8160909331763
2014-02-01,101.499504848048
2014-03-01,103.029881134296
2014-04-01,103.28494384867
2014-05-01,102.621780791297
2014-06-01,101.652542476673
2014-07-01,105.876722374586
2014-08-01,105.955042747104
2014-09-01,103.047327803234
2014-10-01,102.99631526036
2014-11-01,101.018678444854
2014-12-01,98.008938415234
2015-01-01,92.5624486842343
2015-02-01,88.5051499674732
2015-03-01,92.6763261266001
2015-04-01,99.5120068718383
2015-05-01,99.5120068718383
2015-06-01,101.552508586835
2015-07-01,108.401463971483
2015-08-01,106.207924627862
2015-09-01,103.198184598242
2015-10-01,103.249197141117
2015-11-01,102.330971369368
2015-12-01,102.291811183109
2016-01-01,102.240798640234
2016-02-01,102.495861354609
2016-03-01,99.5371338678641
2016-04-01,103.210036954858
2016-05-01,103.720162383607
2016-06-01,106.003874456362
2016-07-01,110.171352680225
2016-08-01,105.937311621607
2016-09-01,105.121110935608
2016-10-01,107.00857502198
2016-11-01,108.947051651227
2016-12-01,108.118998608612
2017-01-01,110.069011192109
2017-02-01,111.25083700029
2017-03-01,111.014471838653
2017-04-01,110.187193772927
2017-05-01,112.196297646834
2017-06-01,111.19174570988
2017-07-01,109.158644063014
2017-08-01,110.034949836939
2017-09-01,112.753149195753
